STATE_FDID,STATE,FDID,DEPT_NAME,DEPT_TYPE,TOTAL_INCIDENTS,FIRE_INCIDENTS,STRUCTURE_FIRES,EMS_INCIDENTS,RESPONSE_TIME_AVG,CONTAINMENT_RATE,PROP_LOSS_ADJ,PROP_LOSS_USD,TOTAL_FF,FF_PER_1000_INC,STATIONS,STA_PER_1000,CAREER_PCT,CIV_CAS_PER_1000,FF_INJ_PER_1000,DATA_QUALITY,PEER_GROUP,RESP_NP,CONT_NP,PL_NP,FF1000_NP,RESP_PP,CONT_PP,PL_PP,FF1000_PP
CO-4305,CO,4305,CANON CITY AREA FPD,Career,297,98,33,0,16.1751,38.0952,8.4859,378200.0,54,181.8182,2,6.734,55.5556,61.2245,10.2041,100,XS,55.4394,44.2836,75.0473,52.5749,56.9683,45.7435,76.3414,51.6489
CO-4505,CO,4505,CARBONDALE RURAL FPD,Volunteer,82,26,10,0,22.3924,66.6667,,50501.0,69,841.4634,5,60.9756,13.0435,0.0,0.0,100,XS,27.8643,76.1741,,83.6799,28.7954,76.1401,,83.105
CO-3510,CO,3510,CASTLE ROCK FIRE RESCUE DEPT,Career,302,77,31,0,11.047,80.0,10.3879,78000.0,79,261.5894,5,16.5563,74.6835,12.987,38.961,100,XS,83.1479,85.0136,72.0227,58.3397,84.1614,84.5875,73.5641,57.2693
CO-2905,CO,2905,CEDAREDGE FDDELTA CTY FPD3,Volunteer,51,38,9,0,18.2157,66.6667,,0.0,27,529.4118,2,39.2157,0.0,0.0,0.0,100,XS,45.3587,76.1741,,73.3941,46.7176,76.1401,,72.4872
CO-2120,CO,2120,CENTRAL CONEJOS COUNTY FPD,Volunteer,82,14,5,0,8.963,33.3333,82.7586,240000.0,18,219.5122,1,12.1951,0.0,0.0,0.0,100,XS,92.0189,39.1038,22.2725,55.2613,92.3401,40.5231,23.6949,54.2111
CO-4115,CO,4115,CIMARRON HILLS FPD,Career,88,52,27,0,22.7955,44.4444,56.625,226500.0,36,409.0909,1,11.3636,77.7778,0.0,0.0,100,XS,26.5128,49.894,33.6214,67.4741,27.3948,51.1436,35.466,66.4074
CO-1940,CO,1940,CLEAR CREEK FIRE AUTHORITY,Volunteer,135,62,4,0,23.0076,66.6667,100.0,3000.0,74,548.1481,7,51.8519,1.3514,0.0,0.0,100,XS,25.7397,76.1741,8.061,74.3059,26.5937,76.1401,8.6229,73.4314
CO-7710,CO,7710,CLIFTON FPD,Volunteer,153,74,21,0,15.6184,38.4615,28.0,140000.0,32,209.1503,1,6.5359,25.0,0.0,0.0,100,XS,58.5929,44.5055,52.8355,54.5509,60.1499,45.9335,54.7623,53.5487
CO-4525,CO,4525,COLORADO RIVER FIRE RESCUE,Combo,262,116,20,0,24.2088,75.0,21.0104,202750.0,0,0.0,3,11.4504,,0.0,0.0,100,XS,21.6296,82.3309,59.3438,20.1551,22.3458,81.9894,61.3349,19.9532
CO-8310,CO,8310,CORTEZ FPD,Volunteer,125,44,13,0,14.9412,54.5455,22.3419,56525.0,41,328.0,3,24.0,7.3171,0.0,0.0,100,XS,62.1329,65.5064,58.1826,62.6456,63.6859,66.4317,60.1425,61.4916
CO-2310,CO,2310,COSTILLA COUNTY FIRE PROT DIST,Volunteer,102,85,19,0,44.8602,33.3333,,249000.0,35,343.1373,4,39.2157,0.0,0.0,0.0,100,XS,0.0278,39.1038,,63.5411,0.0288,40.5231,,62.3795
CO-8110,CO,8110,CRAIG RURAL FIRE PROT DIST,Volunteer,81,40,22,0,23.5,64.7059,5.275,105500.0,26,320.9877,1,12.3457,0.0,0.0,0.0,100,XS,23.8988,73.3921,80.4483,62.2945,24.6974,73.5351,81.4309,61.1337
CO-2920,CO,2920,DELTA COUNTY FPD1,Volunteer,161,109,19,0,17.528,14.2857,,0.0,26,161.4907,1,6.2112,0.0,0.0,0.0,100,XS,48.5206,24.6506,,50.9499,49.9366,25.7014,,50.1917
CO-11915,CO,11915,DIVIDE FPD,Volunteer,43,19,10,0,42.5476,50.0,,0.0,42,976.7442,2,46.5116,0.0,0.0,0.0,100,XS,0.5117,57.9685,,86.7937,0.5303,59.0658,,86.3296
CO-6770,CO,6770,DURANGO FIRE PROTECTION DIST,Volunteer,378,80,30,0,20.8165,37.5,74.3692,231980.0,118,312.1693,15,39.6825,38.1356,0.0,0.0,100,XS,33.5373,43.8167,25.7089,61.8726,34.6282,45.2978,27.2648,60.7137
CO-3725,CO,3725,EAGLE RIVER FPD,Career,234,75,29,0,18.6886,55.5556,2.8679,1550000.0,76,324.7863,6,25.641,69.7368,13.3333,200.0,100,XS,43.1034,66.1489,86.2679,62.4578,44.4265,67.0191,86.782,61.3028
CO-4910,CO,4910,EAST GRAND COUNTY FPD,Volunteer,103,46,22,0,22.6,75.0,0.3328,400200.0,46,446.6019,2,19.4175,2.1739,0.0,0.0,100,XS,27.208,82.3309,95.7737,69.374,28.1153,81.9894,95.6086,68.3635
CO-12312,CO,12312,EATON FPD,Volunteer,118,59,18,0,19.0094,75.0,,0.0,39,330.5085,1,8.4746,38.4615,0.0,0.0,100,XS,41.6073,82.3309,,62.7654,42.8818,81.9894,,61.61
CO-3925,CO,3925,ELBERT FPD,Volunteer,15,11,5,0,36.9286,33.3333,,455000.0,30,2000.0,1,66.6667,0.0,0.0,0.0,100,XS,2.6279,39.1038,,97.0278,2.7233,40.5231,,96.922
